구분,학수번호,교과목명,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,학점,시간,대학,학과,개설학과,내용,메모,개설횟수
전공선택,BUSS493,국제경영현장실습Ⅳ,4,1,글로벌,,,1,,3,0,경영대학,경영학과,경영학과,,,0
전공선택,BUSS494,국제경영현장실습Ⅴ,4,1,글로벌,,,1,,3,0,경영대학,경영학과,경영학과,,,0
전공선택,BUSS495,국내경영현장실습Ⅶ,4,2,융합적사고,,,1,,9,0,경영대학,경영학과,경영학과,,,3
전공선택,BUSS496,국내경영현장실습Ⅷ,4,2,융합적사고,,,1,,12,0,경영대학,경영학과,경영학과,,,3
전공선택,BUSS497,국제경영현장실습Ⅵ,4,2,글로벌,,,1,,6,0,경영대학,경영학과,경영학과,,,0
전공선택,BUSS498,국제경영현장실습Ⅶ,4,2,글로벌,,,1,,9,0,경영대학,경영학과,경영학과,,,0
전공선택,BUSS499,국제경영현장실습Ⅷ,4,2,글로벌,,,1,,12,0,경영대학,경영학과,경영학과,,,0
전공인정,PAPP151,행정학원론,,,,,,,,3,3,경영대학,경영학과,행정학과,,,5
전공인정,JURA204,회사법,,,,,,,,3,3,경영대학,경영학과,법학전문대학원,,,0
전공인정,JURA251,행정법,,,,,,,,3,3,경영대학,경영학과,법학전문대학원,,,1
전공인정,JURA301,상법,,,,,,,,3,3,경영대학,경영학과,법학전문대학원,,,1
전공인정,ENGL121,기업영어실습,,,,,,1,,1,1.5,경영대학,경영학과,영어영문학과,,,1
전공인정,IFLS309,비즈니스영어,,,,,,,,3,3,경영대학,경영학과,국제어학원,,,0
전공인정,ECON201,미시경제이론,2,1,,ECON151|ECON171,,,,3,3,경영대학,경영학과,경제학과,,,5
전공인정,ECON202,거시경제이론,2,2,,ECON151|ECON172|ISC203A|ISC203B,,,,3,3,경영대학,경영학과,경제학과,,,5
전공인정,ECON333,재정학,2,1,,,ECON201,,,3,3,경영대학,경영학과,경제학과,,,5
전공인정,ECON334,조세론,2,2,,,ECON201,,,3,3,경영대학,경영학과,경제학과,,,5
전공인정,ECON335,국제금융론,3,2,,,ECON201|ECON202,,,3,3,경영대학,경영학과,경제학과,,,5
전공인정,EGRN322,창업과경영을위한공학기술경향,,,,,,,,3,3,경영대학,경영학과,공과대학,,,5
학문의기초,BUSS152,회계학원리,1,2,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,5
학문의기초,BUSS154,경영통계,1,2,창의적문제해결,,,,,3,3,경영대학,경영학과,경영학과,,,4
학문의기초,BUSS164,경영과사회,1,1,사회적책임,,,,,3,3,경영대학,경영학과,경영학과,,,1
학문의기초,BUSS166,통합적사고와경영학입문,1,2,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,0
교양필수,GELI005,학문세계의탐구 I,1,,,,,,,3,3,경영대학,경영학과,,,,1
교양필수,GEWR002,글쓰기,1,1,,,,,,3,3,경영대학,경영학과,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,,2,2,경영대학,경영학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1,,,,,,1,1,경영대학,경영학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 II,1,2,,,,,,1,1,경영대학,경영학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1,,,,,,3,3,경영대학,경영학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2,,,,,,3,3,경영대학,경영학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,,3,3,경영대학,경영학과,,,,1
